"Time","Vhcl.YawAcc"
"C1","C1"
"s","rad/s^2"
0.041,5.609056331e-009
0.051,7.488264231e-009
0.061,2.820786049e-009
0.071,-1.184063736e-009
0.081,-3.30437544e-009
0.091,-7.75407627e-010
0.101,2.178416558e-009
0.111,-5.690921512e-008
0.121,-4.656195074e-007
0.131,-2.575825135e-007
0.141,-1.267790253e-006
0.151,-3.156340426e-006
0.161,-8.0785303e-006
0.171,-2.343637971e-005
0.181,-8.780010103e-005
0.191,-0.0001027715771
0.201,-0.0006454108516
0.211,0.0002535482345
0.221,-0.0002547933545
0.231,-0.0002031614131
0.241,-0.0002074415097
0.251,-2.919809958e-005
0.261,0.0008152623777
0.271,0.0004996787175
0.281,-0.0003042768512
0.291,-3.6791811e-005
0.301,-6.077709622e-005
0.311,-1.348355363e-005
0.321,4.295482995e-006
0.331,-6.352191122e-006
0.341,-1.535166848e-005
0.351,-1.025436268e-005
0.361,-1.208827689e-005
0.371,7.002464827e-006
0.381,1.663281364e-005
0.391,2.44907078e-005
0.401,4.352879114e-005
0.411,6.354261859e-005
0.421,8.252845873e-005
0.431,0.0001152922705
0.441,0.0001546807616
0.451,0.0001892919536
0.461,0.000236139007
0.471,0.0002832096361
0.481,0.0003366326855
0.491,0.000395805575
0.501,0.0004615853541
0.511,0.0005376182962
0.521,0.0006207476836
0.531,0.0007144163828
0.541,0.000822144968
0.551,0.0009457586566
0.561,0.001084221643
0.571,0.001242078608
0.581,0.001419416745
0.591,0.001616812777
0.601,0.001840890967
0.611,0.002086119261
0.621,0.002351752017
0.631,0.002645696979
0.641,0.002972648479
0.651,0.003332036082
0.661,0.003723777365
0.671,0.004150150344
0.681,0.004613972735
0.691,0.005117454566
0.701,0.005662404932
0.711,0.006250737701
0.721,0.006884596776
0.731,0.007571532857
0.741,0.008312630467
0.751,0.009091935121
0.761,0.009920615703
0.771,0.01081048511
0.781,0.01152727287
0.791,0.01542628743
0.801,0.0177223552
0.811,0.01863206178
0.821,0.0198654402
0.831,0.02160064317
0.841,0.02340474725
0.851,0.02513251267
0.861,0.02698114887
0.871,0.02883735113
0.881,0.03071625344
0.891,0.03270937875
0.901,0.03481673822
0.911,0.03699921072
0.921,0.03924865648
0.931,0.04157632589
0.941,0.04391499981
0.951,0.04628996179
0.961,0.04881539568
0.971,0.05146470293
0.981,0.05418426171
0.991,0.05710760131
1.001,0.06202475354
1.011,0.113328211
1.021,0.1140549555
1.031,0.1151212081
1.041,0.1490961313
1.051,0.1226614416
1.061,0.163991347
1.071,0.1556220055
1.081,0.1160489544
1.091,0.2306730747
1.101,0.1003795788
1.111,0.1562610567
1.121,0.2131652087
1.131,0.1084721163
1.141,0.2372648865
1.151,0.1761895865
1.161,0.1411958337
1.171,0.2440118641
1.181,0.1226389259
1.191,0.1928899586
1.201,0.2245229036
1.211,0.127785638
1.221,0.2482519597
1.231,0.1877474338
